excel_row,facility,corporate_name,address,city,state,ownership_type,do_we_serve,beds,census,data_quality_flag,facility_tags,corporate_tags,all_tags,confidence
20136,SYCAMORE CREEK SENIOR APARTMENTS,CLOVER COMMUNITIES MIAMISBURG LLC,2125 Maue Rd,Miamisburg,OH,Independent,No,238,190,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
20194,THE ARBORS INDEPENDENT LIVING,ARBOR REAL PROPERTY LP,1100 William Styron Sq S,Newport News,VA,Independent,No,94,75,,INDEPENDENT_LIVING,,INDEPENDENT_LIVING,HIGH
20195,THE ARBORS SENIOR APARTMENTS,ATLANTIC MULTI FAMILY 9 ARBORS LLC,7608 Forest Hill Ave,Richmond,VA,Independent,No,186,149,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
20237,THE COTTAGE OF MASON,COLONIAL SENIOR SVCS TWO LLC,6491 Reading Rd,Mason,OH,Independent,No,41,33,,COTTAGE,,COTTAGE,MEDIUM
20265,THE GABLES AT DRUID HILLS SENIOR APARTMENTS,DRUID HILLS LLC,1125 Kohler Avenue,Charlotte,NC,Independent,No,63,50,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
20288,THE HARMONY AT HANOVER,HANOVER IL INVESTORS LLC,8203 Meadowbridge Road,Mechanicsville,VA,Independent,No,52,42,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
20291,THE HARMONY COLLECTION AT ROANOKE INDEPENDENT LIVING,PHEASANT RIDGE AL LLC,4428 Pheasant Ridge Road,Roanoke,VA,Independent,No,222,178,,INDEPENDENT_LIVING,,INDEPENDENT_LIVING,HIGH
20309,THE HILL AT WHITEMARSH,WHITEMARSH CONTINUING CARE,4000 Foxhound Dr,Lafayette Hills,PA,Independent,No,371,297,,,CCRC,CCRC,LOW
20312,THE HILLSMAN HOUSE INDEPENDENT LIVING,NHC HEALTHCARE OF TRYON LLC,70 Oak Street,Tryon,NC,Independent,No,170,136,,INDEPENDENT_LIVING,,INDEPENDENT_LIVING,HIGH
20388,THE OAKS OF WELLINGTON - 55 & OLDER SENIOR APARTMENTS,WELLINGTON SENIORS APARTMENT,10240 Hendley Road,Manassas,VA,Independent,No,131,105,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
20477,THE VILLA,EVERGREEN ELDER CARE INC,1201 Museum Rd,Reading,PA,Independent,No,81,65,,VILLA,,VILLA,MEDIUM
20478,THE VILLA AT SUFFIELD MEADOWS,6735 SUFFIELD LANE LTC LLC,6735 Suffield Ln,Warrenton,VA,Independent,No,68,54,,VILLA,,VILLA,MEDIUM
20479,THE VILLA PERSONAL CARE LLC,KASTELIC RICHARD M,429 Napoleon Place,Johnstown,PA,Corporate,No,50,40,,VILLA,,VILLA,MEDIUM
20511,THE VILLAS AT ST. THERESE ASSISTED LIVING,VILLAS AT SAINT THERESE INC,25 Noe Bixby Rd,Columbus,OH,Corporate,No,50,40,,VILLA,VILLA,VILLA,MEDIUM
20534,THE WILLOWS OF EASLEY & ASSISTED & INDEPENDENT LIVING,VTR WILLOWS EASLEY LLC,105 Willow Place,Easley,SC,Independent,No,95,76,,INDEPENDENT_LIVING,,INDEPENDENT_LIVING,HIGH
